FECHA,CANTIDAD,TIPO DE SERVICIO Especifico,TIPO DE SERVICIO General,DESCRIPCIÓN,COSTO x Uni,MONTO TOTAL
04/14/2025,2,Clases,Clases,Profesor Wilmer,100,200
04/14/2025,1,Pisos,Limpieza,Chema remover,20.9,20.9
04/14/2025,8,Empresa,Empresa,Fotochecks,9,72
04/15/2025,1,Personal Limpieza,Limpieza,Pago Luis Miguel,565,565
04/15/2025,1,Personal Limpieza,Limpieza,Pago Jesús,775,775
04/15/2025,1,Personal Limpieza,Limpieza,Pago Rosa,900,900
04/16/2025,4,Cocina,Limpieza,Sacagrasas galon,10,40
04/16/2025,4,Cocina,Limpieza,Quitagrasa galon ,52,208
04/16/2025,10,Colchón,Limpieza,Paño Microfibra,7,70
04/16/2025,4,Baño,Limpieza,Aroma spray sapolio,7,28
04/16/2025,1,Pisos,Limpieza,Libre enjuague suavitel,22,22
04/16/2025,1,Colchón,Limpieza,Detergente doffy,7,7
04/16/2025,1,Colchón,Limpieza,Esponja 2 en 1 Dkasa,13,13
04/16/2025,1,Pisos,Limpieza,Bolsa 26x,12,12
04/16/2025,1,Colchón,Limpieza,Esponja Carmelita,14,14
04/16/2025,3,Colchón,Limpieza,Lejiia Galon sapolio ,11,33
04/16/2025,10,Pisos,Limpieza,Removedor piso madera  laminado,21.099,210.99
04/16/2025,1,Abogados,Abogados,Abogada Jenireth Cristina,160,160
04/16/2025,1,Colchón,Limpieza,Pico de pato para aspiradora,70,70
04/16/2025,3,Medicamento,Medicamento,trastuzumab,733.333333333333,2200
04/18/2025,1,Empresa,Empresa,Local,2550,2550
04/21/2025,1,Clases,Clases,Profesor Jackson Rojo,112.5,112.5
04/21/2025,1,Clases,Clases,Profesora Katherine,180,180
04/21/2025,1,Clases,Clases,Profesor Jorge Fernandez,1440,1440
04/21/2025,1,Clases,Clases,Profesor Brandon Bolívar,240,240
04/22/2025,1,Abogados,Abogados,Abogada Jenireth Cristina,410,410
04/23/2025,1,Personal Ventas,Empresa,Pago Ruth,803,803
04/24/2025,1,Reparaciones,Reparaciones,Reparación para la laptop de ventas,270,270
04/30/2025,1,Personal Ventas,Empresa,Pago Navid,2117.11,2117.11
04/30/2025,1,Personal Ventas,Empresa,Pago Daniela,1642.51,1642.51
04/30/2025,1,Personal Limpieza,Limpieza,Pago Luis Miguel,348.46,348.46
04/30/2025,1,Personal Limpieza,Limpieza,Pago Jesús,701.1,701.1
04/30/2025,1,Personal Limpieza,Limpieza,Pago Rosa,756.85,756.85
04/30/2025,1,Personal Marketing,Empresa,Pago Harumi,1672.86,1672.86
04/30/2025,1,Personal Marketing,Empresa,Pago Mario,1396.52,1396.52
04/30/2025,1,Personal Marketing,Empresa,Pago Saul,1103.29,1103.29
04/30/2025,1,Personal Marketing,Marketing,Pago Camila,732.44,732.44
04/30/2025,1,Empresa,Empresa,Sueldo Marco,10000,10000
04/30/2025,1,Clases,Clases,Google Ads,3487.07,3487.07
04/30/2025,1,Marketing,Marketing,Google Ads,1659.4,1659.4
04/30/2025,1,Pisos,Limpieza,Google Ads,525.7,525.7
04/30/2025,1,Inmueble,Limpieza,Google Ads,2686.78,2686.78
04/30/2025,1,Colchón,Limpieza,Google Ads,1622.23,1622.23
04/30/2025,1,Mueble,Limpieza,Google Ads,773.36,773.36
04/30/2025,4,Empresa,Empresa,Pago AFP (incluye Essalud),128.48,513.92
04/30/2025,1,Empresa,Empresa,Pago ONP (incluye Essalud),146.9,146.9
04/30/2025,1,Hosting,Empresa,Banahosting - Hosting,300,300
04/30/2025,1,Hosting,Empresa,Namecheap - Hosting,300,300
04/30/2025,1,Hosting,Empresa,Sered - Hosting,100,100
04/30/2025,1,Hosting,Empresa,Nicalia - Hosting,160,160
04/30/2025,1,Hosting,Empresa,Imunify - Antivirus para Hosting,100,100
04/30/2025,1,Clases,Clases,Idroo,40,40
04/30/2025,1,Empresa,Empresa,Indeed,650,650
04/30/2025,2,Diseño,Empresa,Adobe,146,292
04/30/2025,1,Empresa,Empresa,Test Gorilla,430,430
04/30/2025,1,IA,Empresa,Chat Gtp,80,80
04/30/2025,2,IA,Empresa,Gemini,74,148
04/30/2025,1,Taxis,Limpieza,TAXIS ABRIL,2107.2,2107.2
04/30/2025,1,Empresa,Empresa,Contador,165,165
05/02/2025,5,Colchón,Limpieza,Lejia color galon sapolio,19,95
05/02/2025,1,Colchón,Limpieza,Lejia galon sapolio,11,11
05/02/2025,3,Pisos,Limpieza,Trapeador microfibra ,52,156
05/02/2025,1,Colchón,Limpieza,Suavitel doypack,22,22
05/02/2025,2,Baño,Limpieza,Limpia inodoro wc,9,18
05/02/2025,1,Colchón,Limpieza,Guantes verde nitrilo,40,40
05/05/2025,1,Clases,Clases,Profesora Lizbeth,337.5,337.5
05/05/2025,1,Clases,Clases,Profesora Katherine,292.5,292.5
05/05/2025,1,Clases,Clases,Profesora Celia,1232.5,1232.5
05/06/2025,1,Clases,Clases,Profesor Jorge Fernandez,1800,1800
05/10/2025,1,Personal Limpieza,Limpieza,Pago Juan Carlos,70,70
05/12/2025,3,Colchón,Limpieza,Lejia color galon sapolio,19,57
05/12/2025,4,Colchón,Limpieza,Lejia galon sapolio,11,44
05/12/2025,5,Colchón,Limpieza,Premio spray lavanda,10,50
05/12/2025,3,Baño,Limpieza,wc frasco inodoro,9,27
05/12/2025,1,Colchón,Limpieza,Cif crema frasco,13,13
05/12/2025,5,Baño,Limpieza,Aroma spray sapolio,7,35
05/12/2025,10,Colchón,Limpieza,Paño x 4 unid microfibra,7,70
05/12/2025,4,Pisos,Limpieza,Trapeador microfibra,52,208
05/12/2025,1,Clases,Clases,Profesor Brandon Bolívar,360,360
05/13/2025,1,Clases,Clases,Profesor Jackson Rojo,225,225
05/13/2025,1,Empresa,Empresa,Suscripcion de autoresponder.ai,150,150
05/14/2025,1,Empresa,Empresa,Cuaderno,15,15
05/14/2025,2,Medicamento,Medicamento,Voriconazol ,100,200
05/15/2025,1,Personal Limpieza,Limpieza,Pago Luis Miguel,565,565
05/15/2025,1,Personal Limpieza,Limpieza,Pago Jesús,775,775
05/15/2025,1,Personal Limpieza,Limpieza,Pago Rosa,900,900
05/16/2025,1,Personal Limpieza,Limpieza,Pago Erika,60,60
05/16/2025,1,Personal Limpieza,Limpieza,Pago Juan Carlos,75,75
05/16/2025,2,Medicamento,Medicamento,Voriconazol ,100,200
05/18/2025,1,Empresa,Empresa,Local,2550,2550
05/19/2025,1,Clases,Clases,Profesor Jorge Fernandez,1335,1335
05/19/2025,1,Clases,Clases,Profesora Katherine,435,435
05/19/2025,1,Clases,Clases,Profesor Jackson Rojo,225,225
05/19/2025,1,Clases,Clases,Profesor Miguel Pareja,112.5,112.5
05/19/2025,1,Clases,Clases,Profesor Martin,150,150
05/19/2025,1,Empresa,Empresa,Cuaderno para Visitas,15,15
05/21/2025,1,Empresa,Empresa,Gaseosa y almuerzo,36.6,36.6
05/21/2025,1,Personal Limpieza,Limpieza,Pago José,60,60
05/26/2025,1,Pisos,Limpieza,Resina Negra,140,140
05/26/2025,1,Clases,Clases,Profesora Melisa,225,225
05/26/2025,1,Clases,Clases,Profesora Lizbeth,337.5,337.5
05/27/2025,8,Colchón,Limpieza,Paño x 4 unid microfibra,7,56
05/27/2025,1,Pisos,Limpieza,Alambrado,20,20
05/27/2025,1,Colchón,Limpieza,Esponja viruta,13,13
05/27/2025,2,Pisos,Limpieza,Trapeador microfibra,52,104
05/27/2025,1,Pisos,Limpieza,bolsa liso ,18,18
05/27/2025,2,Colchón,Limpieza,Lejia color galon sapolio,19,38
05/27/2025,2,Colchón,Limpieza,Lejia galon sapolio,11,22
05/27/2025,3,Pisos,Limpieza,Cif crema frasco,12,36
05/27/2025,15,Pisos,Limpieza,Antihongos sapolio,12,180
05/27/2025,2,Baño,Limpieza,Frasco wc inodoro,9,18
05/27/2025,2,Pisos,Limpieza,Frasco x 2 litros,15,30
05/27/2025,3,Pisos,Limpieza,Soda caustica,12,36
05/27/2025,3,Baño,Limpieza,Quitasarro galon,10,30
05/27/2025,5,Baño,Limpieza,Aroma spray sapolio,6,30
05/27/2025,3,Pisos,Limpieza,Premio spray lavanda,10,30
05/27/2025,1,Pisos,Limpieza,Lavavajilla ayudin,12,12
05/27/2025,2,Colchón,Limpieza,Suavitel doypack,21,42
05/27/2025,1,Pisos,Limpieza,Guantes verde nitrilo,40,40
05/29/2025,1,Pisos,Limpieza,Chema Remover,22.9,22.9
05/29/2025,12,Pisos,Limpieza,Binner remover,14.6,175.2
05/29/2025,1,Taxis,Limpieza,TAXIS MAYO,2191.4,2191.4
05/29/2025,1,Empresa,Empresa,Contador,165,165
05/30/2025,1,Clases,Clases,Google Ads,2638.87,3694.418
