FECHA;CANTIDAD;TIPO DE SERVICIO Especifico;TIPO DE SERVICIO General;DESCRIPCIÓN;COSTO x Uni;MONTO TOTAL;;;;;;;;;;;;;;;
20/3/2025;1;Personal Marketing;Marketing;Comisión Mario;220;220;;;;;;;;;;;;;;;
20/3/2025;2;Pisos;Limpieza;removedor pisos;19.93;39.86;;;;;;;;;;;;;;;
24/3/2025;1;Pisos;Limpieza;insumos para pisos;13;13;;;;;;;;;;;;;;;
24/3/2025;1;Clases;Clases;Profesor Jorge Fernandez;652.5;652.5;;;;;;;;;;;;;;;
24/3/2025;1;Clases;Clases;Profesora Katherine;67.5;67.5;;;;;;;;;;;;;;;
24/3/2025;1;Clases;Clases;Profesor Jackson Rojo;180;180;;;;;;;;;;;;;;;
24/3/2025;1;Clases;Clases;Profesora Lizbeth;75;75;;;;;;;;;;;;;;;
25/3/2025;1;Pisos;Limpieza;insumos para pisos;13;13;;;;;;;;;;;;;;;
26/3/2025;1;Empresa;Empresa;gaseosa;12.6;12.6;;;;;;;;;;;;;;;
26/3/2025;3;Empresa;Empresa;queques y gaseosa;2.5;7.5;;;;;;;;;;;;;;;
26/3/2025;4;Pisos;Limpieza;pad blanco y rojo grande;30;120;;;;;;;;;;;;;;;
27/3/2025;1;Reparaciones;Reparaciones;reparación de aspiradoras;100;100;;;;;/;;;;;;;;;;
28/3/2025;1;Medicamento;Medicamento;Rituximab;1099;1099;;;;;;;;;;;;;;;
28/3/2025;1;Empresa;Empresa;Pastillas para Luis Miguel;2.5;2.5;;;;;;;;;;;;;;;
31/3/2025;6;Colchón;Limpieza;Lejia color galon sapolio;19;114;;;;;;;;;;;;;;;
31/3/2025;2;Colchón;Limpieza;Lejia galon sapolio;11;22;;;;;;;;;;;;;;;
31/3/2025;2;Colchón;Limpieza;suavitel doypack;22;44;;;;;;;;;;;;;;;
31/3/2025;2;Colchón;Limpieza;silicona cuero spray;14;28;;;;;;;;;;;;;;;
31/3/2025;2;Colchón;Limpieza;soda caustica;14;28;;;;;;;;;;;;;;;
31/3/2025;1;Colchón;Limpieza;Trapeador microfibr;52;52;;;;;;;;;;;;;;;
31/3/2025;1;Clases;Clases;Profesora Celia;437.5;437.5;;;;;/;;;;;;;;;;
31/3/2025;1;Pisos;Limpieza;TAXIS MARZO;3042.5;3042.5;;;;;;;;;;;;;;;
30/3/2025;1;Empresa;Empresa;Sueldo Marco;10000;10000;;;;;;;;;;;;;;;
30/3/2025;3;Empresa;Empresa;Pago AFP (incluye Essalud);128.48;385.44;;;;;;;;;;;;;;;
30/3/2025;1;Empresa;Empresa;Pago ONP (incluye Essalud);146.9;146.9;;;;;;;;;;;;;;;
30/3/2025;1;Hosting;Empresa;Banahosting - Hosting;300;300;;;;;;;;;;;;;;;
30/3/2025;1;Hosting;Empresa;Namecheap - Hosting;300;300;;;;;;;;;;;;;;;
30/3/2025;1;Hosting;Empresa;Sered - Hosting;100;100;;;;;;;;;;;;;;;
30/3/2025;1;Hosting;Empresa;Nicalia - Hosting;160;160;;;;;;;;;;;;;;;
30/3/2025;1;Hosting;Empresa;Imunify - Antivirus para Hosting;100;100;;;;;;;;;;;;;;;
30/3/2025;1;Clases;Empresa;Idroo;40;40;;;;;;;;;;;;;;;
30/3/2025;1;Empresa;Empresa;Indeed;650;650;;;;;;;;;;;;;;;
30/3/2025;2;Empresa;Empresa;Adobe;146;292;;;;;;;;;;;;;;;
30/3/2025;1;IA;Empresa;Test Gorilla;430;430;;;;;;;;;;;;;;;
30/3/2025;1;IA;Empresa;Chat Gtp;80;80;;;;;;;;;;;;;;;
30/3/2025;2;IA;Empresa;Gemini;74;148;;;;;;;;;;;;;;;
30/3/2025;1;Personal Limpieza;Limpieza;Pago a Truly;60;60;;;;;;;;;;;;;;;
30/3/2025;1;Personal Marketing;Marketing;Pago a Camila;650;650;;;;;;;;;;;;;;;
30/3/2025;1;Personal Marketing;Empresa;Pago Mario;1302.77;1302.77;;;;;;;;;;;;;;;
30/3/2025;1;Personal Marketing;Empresa;Pago Saul;1082.46;1082.46;;;;;;;;;;;;;;;
30/3/2025;1;Personal Ventas;Empresa;Pago Navid;2301.84;2301.84;;;;;;;;;;;;;;;
30/3/2025;1;Personal Ventas;Empresa;Pago Diana;2128.12;2301.84;;;;;;;;;;;;;;;
30/3/2025;1;Personal Ventas;Empresa;Pago Ever;919.38;919.38;;;;;;;;;;;;;;;
30/3/2025;1;Personal Limpieza;Limpieza;Pago Jesús;552.04;552.04;;;;;;;;;;;;;;;
30/3/2025;1;Personal Limpieza;Limpieza;Pago Rosa;855.6;855.6;;;;;;;;;;;;;;;
30/3/2025;1;Personal Marketing;Empresa;Pago Harumi;1537.5;1537.5;;;;;;;;;;;;;;;
30/3/2025;1;Personal Limpieza;Limpieza;Pago Luis Miguel;489.67;489.67;;;;;;;;;;;;;;;
2/4/2025;1;Empresa;Empresa;Pastillas y Frutiflex para Ever;11.8;11.8;;;;;;;;;;;;;;;
2/4/2025;1;Abogados;Abogados;Abogada Jenireth Cristina;145;145;;;;;;;;;;;;;;;
2/4/2025;1;Personal Limpieza;Limpieza;Pago José;60;60;;;;;;;;;;;;;;;
3/4/2025;1;Empresa;Empresa;Pago de Celulares;120;120;;;;;;;;;;;;;;;
4/4/2025;1;Empresa;Limpieza;queques y gaseosa;22.1;22.1;;;;;;;;;;;;;;;
4/4/2025;4;Baño;Limpieza;Aroma spray sapolio;7;28;;;;;;;;;;;;;;;
4/4/2025;4;Pisos;Limpieza;Premio spray lavanda;10;40;;;;;;;;;;;;;;;
4/4/2025;3;Pisos;Limpieza;Limpiatodo dkasa Galon;12;36;;;;;;;;;;;;;;;
4/4/2025;1;Cocina;Limpieza;Lavavajilla ayudin;13;13;;;;;;;;;;;;;;;
4/4/2025;2;Pisos;Limpieza;Cera Balde tekno pasta;45;90;;;;;;;;;;;;;;;
4/4/2025;3;Pisos;Limpieza;Trapeador Microfibra;52;156;;;;;;;;;;;;;;;
4/4/2025;2;Pisos;Limpieza;Escoba;13;26;;;;;;;;;;;;;;;
4/4/2025;7;Pisos;Limpieza;Paño microfibra;7;49;;;;;;;;;;;;;;;
4/4/2025;1;Colchón;Limpieza;Esponja Carmelita;13;13;;;;;;;;;;;;;;;
7/4/2025;1;Empresa;Limpieza;Almuerzo y gaseosa;34;34;;;;;;;;;;;;;;;
8/4/2025;1;Pisos;Limpieza;Insumos de Pisos;304.1;304.1;;;;;;;;;;;;;;;
8/4/2025;6;Pisos;Limpieza;Bolsas;4.91;29.46;;;;;;;;;;;;;;;
8/4/2025;10;Pisos;Limpieza;Pad Marrón de 17 pulgadas;30;300;;;;;;;;;;;;;;;
8/4/2025;10;Pisos;Limpieza;Minipad marrón;4;40;;;;;;;;;;;;;;;
8/4/2025;1;Pisos;Limpieza;Restaurador de arañazos en madera;25;25;;;;;;;;;;;;;;;
8/4/2025;1;Clases;Clases;Profesor Wilmer;550;550;;;;;;;;;;;;;;;
8/4/2025;1;Clases;Clases;Profesor Jorge Fernandez;1282.5;1282.5;;;;;;;;;;;;;;;
8/4/2025;1;Clases;Clases;Profesora Katherine;90;90;;;;;;;;;;;;;;;
8/4/2025;1;Clases;Clases;Profesora Melisa;137.5;137.5;;;;;;;;;;;;;;;
8/4/2025;1;Pisos;Limpieza;Insumo para pisos;304.1;304.1;;;;;;;;;;;;;;;
8/4/2025;1;Pisos;Limpieza;6 bolsas;29.5;29.5;;;;;;;;;;;;;;;
8/4/2025;1;Personal Ventas;Empresa;Pago Ever;143.53;143.53;;;;;;;;;;;;;;;
8/4/2025;1;Empresa;Empresa;Pasaje para insumos;19;19;;;;;;;;;;;;;;;
9/4/2025;1;Personal Limpieza;Limpieza;Pago Juan Carlos;80;80;;;;;;;;;;;;;;;
9/4/2025;1;Personal Limpieza;Limpieza;Visita técnica de fachada a Jorge;10;10;;;;;;;;;;;;;;;
9/4/2025;1;Empresa;Empresa;Pago al Contador;165;165;;;;;;;;;;;;;;;
9/4/2025;1;Empresa;Empresa;Gaseosa;9.5;9.5;;;;;;;;;;;;;;;
9/4/2025;1;Personal Limpieza;Limpieza;Pago Juan Carlos;70;70;;;;;;;;;;;;;;;
10/4/2025;1;Abogados;Abogados;Abogada Jenireth Cristina;195;195;;;;;;;;;;;;;;;
10/4/2025;4;Pisos;Limpieza;Pad rojo y blanco ;30;120;;;;;;;;;;;;;;;
10/4/2025;20;Pisos;Limpieza;Minipad de 3 pulgadas;4;80;;;;;;;;;;;;;;;
11/4/2025;2;Medicamento;Medicamento;Rituximab 500mg ;1175;2350;;;;;;;;;;;;;;;
11/4/2025;2;Medicamento;Medicamento;Voriconazol;100;200;;;;;;;;;;;;;;;
11/4/2025;1;Empresa;Empresa;Gaseosa y pasaje para insumos;22.5;22.5;;;;;;;;;;;;;;;
11/4/2025;11;Pisos;Limpieza;Binner remover;30.34;333.74;;;;;;;;;;;;;;;
12/4/2025;1;Personal Limpieza;Limpieza;Pago José;60;60;;;;;;;;;;;;;;;
12/4/2025;1;Empresa;Empresa;Plumones, lapiceros y cinta para oficina;20.43;20.43;;;;;;;;;;;;;;;
14/4/2025;2;Clases;Clases;Profesor Wilmer;100;200;;;;;;;;;;;;;;;
14/4/2025;1;Pisos;Limpieza;Chema remover;20.9;20.9;;;;;;;;;;;;;;;
14/4/2025;8;Empresa;Empresa;Fotochecks;9;72;;;;;;;;;;;;;;;
15/4/2025;1;Personal Limpieza;Limpieza;Pago Luis Miguel;565;565;;;;;;;;;;;;;;;
15/4/2025;1;Personal Limpieza;Limpieza;Pago Jesús;775;775;;;;;;;;;;;;;;;
